Date,Product Name,Amount Sold,Visible Stock,Inventory,Category
05/12/2024,Sofa,6,10,10,Furniture
05/12/2024,Television,4,3,1,Electronics
05/12/2024,Bed,5,1,4,Furniture
05/12/2024,Toaster,3,8,2,Appliances
05/12/2024,Coffee Maker,5,8,0,Appliances
05/12/2024,T-Shirt,7,20,13,Clothing
05/12/2024,Laptop,7,0,0,Electronics
05/12/2024,Dining Table,2,1,0,Furniture
05/12/2024,Refrigerator,1,4,0,Appliances
05/12/2024,Chair,5,12,3,Furniture
05/12/2024,Blender,2,4,0,Appliances
05/12/2024,Jeans,3,21,7,Clothing
05/12/2024,Smartphone,1,7,0,Electronics
05/12/2024,Nightstand,2,3,0,Furniture
05/12/2024,Microwave,1,7,1,Appliances
05/12/2024,Shirt,6,29,12,Clothing
05/12/2024,Tablet,2,1,0,Electronics
05/12/2024,Desk Lamp,1,8,1,Home
05/12/2024,Vacuum Cleaner,1,6,1,Home
05/12/2024,Couch,2,10,3,Furniture
