Date,Product Name,Amount Sold,Visible Stock,Inventory,Category
05/08/2024,Sofa,5,25,10,Furniture
05/08/2024,Television,3,15,5,Electronics
05/08/2024,Bed,4,15,8,Furniture
05/08/2024,Toaster,2,18,6,Appliances
05/08/2024,Coffee Maker,4,22,4,Appliances
05/08/2024,T-Shirt,10,50,20,Clothing
05/08/2024,Laptop,3,20,5,Electronics
05/08/2024,Dining Table,2,12,4,Furniture
05/08/2024,Refrigerator,1,8,3,Appliances
05/08/2024,Chair,6,30,10,Furniture
05/08/2024,Blender,4,14,6,Appliances
05/08/2024,Jeans,8,40,15,Clothing
05/08/2024,Smartphone,5,18,4,Electronics
05/08/2024,Nightstand,3,10,3,Furniture
05/08/2024,Microwave,2,12,5,Appliances
05/08/2024,Shirt,12,60,25,Clothing
05/08/2024,Tablet,2,10,2,Electronics
05/08/2024,Desk Lamp,3,15,5,Home
05/08/2024,Vacuum Cleaner,1,10,3,Home
05/08/2024,Couch,4,20,7,Furniture
