Date,Product Name,Amount Sold,Visible Stock,Inventory,Category
05/13/2024,Sofa,4,6,10,Furniture
05/13/2024,Television,3,2,2,Electronics
05/13/2024,Bed,2,1,5,Furniture
05/13/2024,Toaster,2,8,4,Appliances
05/13/2024,Coffee Maker,3,7,2,Appliances
05/13/2024,T-Shirt,4,20,14,Clothing
05/13/2024,Laptop,2,2,3,Electronics
05/13/2024,Dining Table,2,8,4,Appliances
05/13/2024,Refrigerator,1,3,1,Furniture
05/13/2024,Chair,3,9,8,Furniture
05/13/2024,Blender,2,4,2,Appliances
05/13/2024,Jeans,3,16,10,Clothing
05/13/2024,Smartphone,2,4,2,Electronics
05/13/2024,Nightstand,1,4,1,Furniture
05/13/2024,Microwave,1,6,3,Appliances
05/13/2024,Shirt,4,21,18,Clothing
05/13/2024,Tablet,1,3,0,Electronics
05/13/2024,Desk Lamp,1,6,2,Home
05/13/2024,Vacuum Cleaner,1,5,2,Home
05/13/2024,Couch,2,10,5,Furniture
