Date,Product Name,Amount Sold,Visible Stock,Inventory,Category
05/11/2024,Sofa,6,10,10,Furniture
05/11/2024,Television,5,4,1,Electronics
05/11/2024,Bed,6,2,5,Furniture
05/11/2024,Toaster,4,11,3,Appliances
05/11/2024,Coffee Maker,6,11,1,Appliances
05/11/2024,T-Shirt,9,27,14,Clothing
05/11/2024,Laptop,6,7,2,Electronics
05/11/2024,Dining Table,4,3,0,Furniture
05/11/2024,Refrigerator,1,5,0,Appliances
05/11/2024,Chair,3,17,6,Furniture
05/11/2024,Blender,3,6,1,Appliances
05/11/2024,Jeans,4,24,8,Clothing
05/11/2024,Smartphone,2,8,1,Electronics
05/11/2024,Nightstand,2,5,0,Furniture
05/11/2024,Microwave,1,8,2,Appliances
05/11/2024,Shirt,7,35,16,Clothing
05/11/2024,Tablet,3,3,0,Electronics
05/11/2024,Desk Lamp,1,9,1,Home
05/11/2024,Vacuum Cleaner,1,7,1,Home
05/11/2024,Couch,3,12,4,Furniture
